,title,year,user_suggestion,is_early_access,received_free,contains_art,developer,publisher,positive,neutral,negative
title,1.0,-0.1631094626012422,-0.06993353441939552,-0.35741474018819386,0.010862881159599883,-0.0023024840311646052,0.36096767341295605,0.06297492490199683,0.04089591116181987,0.07460481832010432,-0.06883781416484884
year,-0.1631094626012422,1.0,-0.1200437488886364,0.1732149961660858,0.013547455343385919,-0.00156248349218489,-0.12963872224805276,-0.1254628999047983,0.08830981601331968,-0.019224798173808687,-0.07140890788004552
user_suggestion,-0.06993353441939552,-0.1200437488886364,1.0,-0.009283663014173028,-0.06099832131306198,0.0057424522106591215,-0.06260931900804143,0.01898973159419842,-0.7179994372398134,-0.12482567478762152,0.7010038374511796
is_early_access,-0.35741474018819386,0.1732149961660858,-0.009283663014173028,1.0,0.07880385677693977,-0.010390204062917931,-0.2736097669004733,-0.06344937224758045,-0.010530867630464829,-0.06773452055490309,0.03850994823307688
received_free,0.010862881159599883,0.013547455343385919,-0.06099832131306198,0.07880385677693977,1.0,-0.0062480618603050105,-0.01964640114223519,-0.028125946799098855,0.044244001412006774,0.008023344963532377,-0.04333867542303159
contains_art,-0.0023024840311646052,-0.00156248349218489,0.0057424522106591215,-0.010390204062917931,-0.0062480618603050105,1.0,-0.0014179113387180061,-0.005910425508645069,-0.012152446973061134,0.06980382503963743,-0.018939028197770612
developer,0.36096767341295605,-0.12963872224805276,-0.06260931900804143,-0.2736097669004733,-0.01964640114223519,-0.0014179113387180061,1.0,0.4697053542251206,0.06847693826314925,0.05145902750319152,-0.08379816700821523
publisher,0.06297492490199683,-0.1254628999047983,0.01898973159419842,-0.06344937224758045,-0.028125946799098855,-0.005910425508645069,0.4697053542251206,1.0,0.01443592541735235,0.01010662538885589,-0.01734817930526777
positive,0.04089591116181987,0.08830981601331968,-0.7179994372398134,-0.010530867630464829,0.044244001412006774,-0.012152446973061134,0.06847693826314925,0.01443592541735235,1.0,0.004113066622800679,-0.9036253933112209
neutral,0.07460481832010432,-0.019224798173808687,-0.12482567478762152,-0.06773452055490309,0.008023344963532377,0.06980382503963743,0.05145902750319152,0.01010662538885589,0.004113066622800679,1.0,-0.43203669770164965
negative,-0.06883781416484884,-0.07140890788004552,0.7010038374511796,0.03850994823307688,-0.04333867542303159,-0.018939028197770612,-0.08379816700821523,-0.01734817930526777,-0.9036253933112209,-0.43203669770164965,1.0
