,title,year,user_suggestion,is_early_access,received_free,contains_art,developer,publisher,positive,neutral,negative
title,1.0,-0.1631094626012422,-0.06993353441939552,-0.35741474018819386,0.010862881159599883,-0.0023024840311646052,0.36096767341295605,0.06297492490199683,0.042469456441096884,0.07600494830541489,-0.07087949871416752
year,-0.1631094626012422,1.0,-0.1200437488886364,0.1732149961660858,0.013547455343385919,-0.00156248349218489,-0.12963872224805276,-0.1254628999047983,0.08772418314130372,-0.017878512108489703,-0.07139509267772827
user_suggestion,-0.06993353441939552,-0.1200437488886364,1.0,-0.009283663014173028,-0.06099832131306198,0.0057424522106591215,-0.06260931900804143,0.01898973159419842,-0.7197934389315228,-0.12048064464477581,0.700416756713684
is_early_access,-0.35741474018819386,0.1732149961660858,-0.009283663014173028,1.0,0.07880385677693977,-0.010390204062917931,-0.2736097669004733,-0.06344937224758045,-0.011208663603516932,-0.06684556112996178,0.0387757877523675
received_free,0.010862881159599883,0.013547455343385919,-0.06099832131306198,0.07880385677693977,1.0,-0.0062480618603050105,-0.01964640114223519,-0.028125946799098855,0.044986194808740866,0.006604808831642613,-0.04337836089006021
contains_art,-0.0023024840311646052,-0.00156248349218489,0.0057424522106591215,-0.010390204062917931,-0.0062480618603050105,1.0,-0.0014179113387180061,-0.005910425508645069,-0.01233084833067956,0.06953968128425059,-0.018715721651460772
developer,0.36096767341295605,-0.12963872224805276,-0.06260931900804143,-0.2736097669004733,-0.01964640114223519,-0.0014179113387180061,1.0,0.4697053542251206,0.0680000396905372,0.051047390524857315,-0.08318409892743513
publisher,0.06297492490199683,-0.1254628999047983,0.01898973159419842,-0.06344937224758045,-0.028125946799098855,-0.005910425508645069,0.4697053542251206,1.0,0.013487996546795378,0.009941898271205146,-0.016421085875259527
positive,0.042469456441096884,0.08772418314130372,-0.7197934389315228,-0.011208663603516932,0.044986194808740866,-0.01233084833067956,0.0680000396905372,0.013487996546795378,1.0,0.004774172098260674,-0.9033289256881153
neutral,0.07600494830541489,-0.017878512108489703,-0.12048064464477581,-0.06684556112996178,0.006604808831642613,0.06953968128425059,0.051047390524857315,0.009941898271205146,0.004774172098260674,1.0,-0.4332563016589479
negative,-0.07087949871416752,-0.07139509267772827,0.700416756713684,0.0387757877523675,-0.04337836089006021,-0.018715721651460772,-0.08318409892743513,-0.016421085875259527,-0.9033289256881153,-0.4332563016589479,1.0
