,title,year,user_suggestion,is_early_access,received_free,contains_art,developer,publisher,positive,neutral,negative
title,1.0,-0.1631094626012422,-0.06993353441939552,-0.35741474018819386,0.010862881159599883,-0.0023024840311646052,0.36096767341295605,0.06297492490199683,0.04270741820489113,0.07513453682209449,-0.07058826088427071
year,-0.1631094626012422,1.0,-0.1200437488886364,0.1732149961660858,0.013547455343385919,-0.00156248349218489,-0.12963872224805276,-0.1254628999047983,0.0878289855432789,-0.01585182625501983,-0.07244678704455845
user_suggestion,-0.06993353441939552,-0.1200437488886364,1.0,-0.009283663014173028,-0.06099832131306198,0.0057424522106591215,-0.06260931900804143,0.01898973159419842,-0.7206607409267052,-0.1228589586597202,0.7024052111974203
is_early_access,-0.35741474018819386,0.1732149961660858,-0.009283663014173028,1.0,0.07880385677693977,-0.010390204062917931,-0.2736097669004733,-0.06344937224758045,-0.010707325600048114,-0.06564380691233411,0.037676345628501494
received_free,0.010862881159599883,0.013547455343385919,-0.06099832131306198,0.07880385677693977,1.0,-0.0062480618603050105,-0.01964640114223519,-0.028125946799098855,0.04454096199682091,0.006679671087824288,-0.04302265635673433
contains_art,-0.0023024840311646052,-0.00156248349218489,0.0057424522106591215,-0.010390204062917931,-0.0062480618603050105,1.0,-0.0014179113387180061,-0.005910425508645069,-0.012264401902242542,0.07009988407817232,-0.018860168985340646
developer,0.36096767341295605,-0.12963872224805276,-0.06260931900804143,-0.2736097669004733,-0.01964640114223519,-0.0014179113387180061,1.0,0.4697053542251206,0.06780298850665971,0.049888816180126895,-0.0824460766217221
publisher,0.06297492490199683,-0.1254628999047983,0.01898973159419842,-0.06344937224758045,-0.028125946799098855,-0.005910425508645069,0.4697053542251206,1.0,0.013620711009783964,0.008351520470455474,-0.015849285091654598
positive,0.04270741820489113,0.0878289855432789,-0.7206607409267052,-0.010707325600048114,0.04454096199682091,-0.012264401902242542,0.06780298850665971,0.013620711009783964,1.0,0.005693392955718924,-0.9043303935134032
neutral,0.07513453682209449,-0.01585182625501983,-0.1228589586597202,-0.06564380691233411,0.006679671087824288,0.07009988407817232,0.049888816180126895,0.008351520470455474,0.005693392955718924,1.0,-0.4319749420706711
negative,-0.07058826088427071,-0.07244678704455845,0.7024052111974203,0.037676345628501494,-0.04302265635673433,-0.018860168985340646,-0.0824460766217221,-0.015849285091654598,-0.9043303935134032,-0.4319749420706711,1.0
